Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego,1,1,1,0,0,0,0,0,1,1,0,0
rt user user siapa yang telat ngasih tau eluedan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga,0,1,0,0,0,0,0,0,0,0,0,0
41 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
user user aku itu akunnku tau matamu sipit tapi diliat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
user user kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,1,1,0,1,1,0,0,0,0,0,1,0
user ya bani taplak dkk xf0x9fx98x84xf0x9fx98x84xf0x9fx98x84,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya 2 karakter utama cowonya kena friendzone bray xd url,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan 2 depan twins baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
user enak lg klo smbil ngewe,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xf0x9fx98x8f,1,1,1,0,0,0,0,0,1,1,0,0
user user user user banci kaleng malu ga bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe user url,1,1,1,0,0,0,0,1,0,1,0,0
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi user,0,0,0,0,0,0,0,0,0,0,0,0
aktor huruhara 98 prabowo s ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
user bu guru enakan jadi jablay atau guru esde sihnkayaknya menikmati jadi pecun ini guru,1,1,1,0,0,0,0,1,0,1,0,0
user user user user user user lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan ini kok fikiran ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari sarua beki mah repeh monyetxf0x9fx98x86xf0x9fx98x86,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowo itu harus gantle kalo ga gantle itu namanya banci,1,1,0,1,0,0,0,1,0,0,1,0
user slga mnr bom xf0x9fx98x82,0,0,0,0,0,0,0,0,0,0,0,0
asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,0,1,0,0,0,0,0,0,0,0,0,0
user kalo kamu noob pasti peluang disakitin nya lebih gede si,0,0,0,0,0,0,0,0,0,0,0,0
user joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0,0,0,0,0,0,0,0,0,0,0,0
pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0
ini si user kerjaannya delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0
rt user user user pki hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
user user itu mah sdh neneknenek sy heran sama cebong biasay bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
user user user user user user user user user islam nusantara produk jil dipasarkan dg gencar oleh antekxc2xb2 jilnnsementara jil anti arab tapi pro asengnnkata alm kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
dari habis sahur sampe jam 10 sibayik udah nete 4x skg rasanya lemas tak terkira xf0x9fxa4xa2,0,0,0,0,0,0,0,0,0,0,0,0
user gak kak emak mah gak demen ama yang sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0
rt user kelakuan homok jaman now ngentot aja sambil live di blued gayvid gvid lokalhangat url,0,1,0,0,0,0,0,0,0,0,0,0
user ga kak gua bukan orang jawa maaf yak gua orang palembang soalnya kakak aja deh yg belajar aksara jawa atau kalak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
pegawai guardian training lagi kek mentang2 gue kek gembel cuman kaos sama flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari,1,1,0,1,0,0,0,0,1,0,1,0
xe2x80x9dpara bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipatxe2x80x9dsanji hbd17thpelautjkt48,0,1,0,0,0,0,0,0,0,0,0,0
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri,0,0,0,0,0,0,0,0,0,0,0,0
user user presiden ri jokowi luarbiasa kerja nya tulus ihlas untuk rakyatb3rsamajkw,0,0,0,0,0,0,0,0,0,0,0,0
edan emang goollnya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
gapernah mendalami alquran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,1,1,1,0,1,0,1,0,0,1,0,0
sangat terlihat beda sekali kewibawaannya yg sangat berwibawa cuma gubernur indonesia user massya allah,0,0,0,0,0,0,0,0,0,0,0,0
anjir baru kali ini lihat orang bego mau debat pilkada kerjanya nyerang karakter shame on you mpok silvy and agus debatfinalpilkadajkt,1,1,0,1,0,0,0,0,1,0,1,0
gubernurzamannow gusipulputi2 ganjaryasin1 djarotsihar2 hasananton2 kosterace1 nurdinsudirman3 karolingidot2 rt user keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
user user apa iya islam itu ga boleh dilokalisasi lha kristen aja mas ada nusantaranya mas liat aja di gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs sundajawa ada hkbp juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
